Luke Perry,0,0
Matt Dillon,0,0
Shiree Nelson,0,0
Mary Lynn Rajskub,0,0
Robert J. Wilke,-1,-1
Rene Russo,0,0
Julia Sawalha,0,0
George Clooney,0,0
Gary Oldman,0,0
Brock Baker,0,0
Stefan Schwartz,0,0
Hiroyuki Ikeuchi,0,0
Miranda Otto,0,0
Collins Pennie,0,0
Archie Panjabi,0,0
Hye-kyo Song,-1,-1
James Lance,0,0
Kiyoshi Kurosawa,0,0
George Miller,0,0
Steve Boyum,0,0
Seth MacFarlane,0,0
Eileen Brennan,0,0
Justin Molotnikov,0,0
John Hamburg,0,0
Mara Wilson,0,0
Kathleen Freeman,0,0
Magda Apanowicz,0,0
Dwight H. Little,-1,-1
Trevor Howard,0,0
Richard Schiff,0,0
Walter Lang,0,0
Scott A. Martin,-1,-1
Burt Ward,0,0
Gina Holden,0,0
Alan Van Sprang,0,0
Ane Dahl Torp,0,0
Magi Avila,0,0
Emma Eliza Regan,0,0
Sid Caesar,0,0
Christopher Toler,0,0
David Lean,0,0
Christian Clemenson,0,0
Stanley Kubrick,0,0
Steven Seagal,0,0
Frank Sebastiano,0,0
Gloria Votsis,0,0
David Denman,0,0
Christopher Nolan,0,0
Tonya Lee Williams,0,0
Matthew Emerick,0,0
Rich Pecci,0,0
Hettienne Park,0,0
Phil Alden Robinson,0,0
Travis Betz,0,0
Susanne Bier,0,0
Fionnula Flanagan,0,0
Mare Winningham,0,0
Kylie Minogue,2878601,2323424
Josh Charles,0,0
Taylor Negron,0,0
Dan Byrd,0,0
Agame Malembo,0,0
Nicholas Lea,0,0
Louise Sorel,0,0
John Eng,0,0
Nathaniel Parker,0,0
Tatsuo Matsumura,0,0
Michael Beck,0,0
Satish Kaushik,0,0
Adrian Gonzalez,0,0
Fernando Meirelles,0,0
Ana Imnadze,0,0
Kate Ashfield,0,0
Wei Tang,0,0
Mark Christopher Lawrence,0,0
Vauxhall Jermaine,0,0
Eric Eason,0,0
Spencer Breslin,0,0
Sabrina Ferilli,0,0
Cabrina Collesides,0,0
Ted Wass,0,0
Anthony Edwards,0,0
Andrew Bujalski,0,0
Casey Kasem,0,0
Roger Lloyd Pack,0,0
Matthew R. Anderson,-1,-1
Richard Lynch,0,0
Lena Olin,0,0
Christian Duguay,0,0
Elliott Gould,0,0
Lydia Hearst,0,0
Mark Valley,0,0
Randeep Hooda,0,0
Michael Taliferro,0,0
Tyrone Benskin,0,0
Raymond J,0,0
Gary Dourdan,0,0
Nnegest Likké,-1,-1
Felix Avitia,0,0
Bob Clark,0,0
Marshall Allman,0,0
Sina Amedson,0,0
Michel Bouquet,0,0
Jean Peters,0,0
Kenneth Nkosi,0,0
Kristen Connolly,0,0
Vanessa Aspillaga,0,0
Steven Waddington,0,0
Jamie Kennedy,0,0
Jennifer Ehle,0,0
Steve Bastoni,0,0
Deborah Mailman,0,0
Thaddeus O,0,0
Maggie Cheung,0,0
Samantha McLeod,0,0
Jordan Carlos,0,0
Regi Davis,0,0
Ritchie Montgomery,0,0
Blair Erickson,0,0
Martin Starr,0,0
Anna Boden,0,0
Daniel Kaluuya,0,0
Frederik Du Chau,0,0
Jack Hawkins,0,0
Valentine,39559733445188660547,162181841
Eva Green,0,0
Amelia Giancarlo,0,0
Eme Ikwuakor,0,0
