Title,imdbID,Actor1,Actor2,Actors-3,Director,Actor1_Rev,Actor2_Rev,Year,YT_Count,YT_Likes,YT_Dislike,IMDBVotes,imdbRating,Budget,Revenue,Rated,Released,Genre,,
The Perfect Storm,tt0177971,George Clooney, Mark Wahlberg, John C. Reilly,Wolfgang Petersen,104329638,144799396,2000,466034,421,41,136569,6.4,140000000,328711434,PG-13,30-Jun-00,Action, Adventure, Drama
Life of Pi,tt0454876,Suraj Sharma, Irrfan Khan, Ayush Tandon,Ang Lee,129466294,146505290,2012,1892802,6511,357,463028,7.9,120000000,607987022,PG,21-Nov-12,Adventure, Drama, Fantasy
Jason Bourne,tt4196776,Matt Damon, Tommy Lee Jones, Alicia Vikander,Paul Greengrass,136623867,88956281,2016,15238543,51757,2288,143037,6.7,120000000,416197059,PG-13,29-Jul-16,Action, Thriller,
The Chronicles of Riddick,tt0296572,Vin Diesel, Colm Feore, Thandie Newton,David Twohy,108476005,26905,2004,7437392,27534,1292,189204,6.7,105000000,107212751,PG-13,11-Jun-04,Action, Adventure, Sci-Fi
Oblivion,tt1483013,Tom Cruise, Morgan Freeman, Olga Kurylenko,Joseph Kosinski,183502020,78297584,2013,6774007,15533,818,403921,7,120000000,287916633,PG-13,19-Apr-13,Action, Adventure, Mystery
Star Wars: Episode I - The Phantom Menace,tt0120915,Liam Neeson, Ewan McGregor, Natalie Portman,George Lucas,5982169,152579280,1999,4018583,10127,990,566230,6.5,115000000,431000000,PG,19-May-99,Action, Adventure, Fantasy
Windtalkers,tt0245562,Nicolas Cage, Adam Beach, Peter Stormare,John Woo,5023915,53292861,2002,1022369,1009,60,57614,6,115000000,77628265,R,14-Jun-02,Action, Drama, War
Tomorrow Never Dies,tt0120347,Pierce Brosnan, Jonathan Pryce, Michelle Yeoh,Roger Spottiswoode,5864146,4646016,1997,241243,540,26,153509,6.5,110000000,339504276,PG-13,19-Dec-97,Action, Adventure, Thriller
The Patriot,tt0187393,Mel Gibson, Heath Ledger, Joely Richardson,Roland Emmerich,49068174,72457700,2000,4395765,9209,3333,215760,7.1,110000000,2317507,R,28-Jun-00,Action, Drama, History
Gullivers Travels,tt1320261,Jack Black, Jason Segel, Emily Blunt,Rob Letterman,18400291,86667042,2010,1577711,1388,249,54896,4.9,112000000,42776259,PG,25-Dec-10,Adventure, Comedy, Family
