Joaquin Phoenix,60754126
Eddie Murphy,117777459
Irrfan Khan,146505290
Matthew McConaughey,136382857
Billy Connolly,136473177
Shea Adams,43020396
Jet Li,72968389
Alberto Reyes,26927601
Damien Marzette,157794205
Hugh Laurie,58454077
Harvey Fierstein,1152925
David Morse,40419050
Henry Cavill,134307331
Chris Tucker,56274162
Sean Penn,42930943
David Cross,195533
Wayne Knight,509511
David McCullough,49571780
Nick Stahl,185175
Ian Holm,264546257
Mark Wahlberg,144799396
James Earl Jones,61310755
Taylor Kitsch,54459400
Matthew Broderick,23121740
Ian McKellen,187715569
Hal Holbrook,24353445
Steve Coogan,187966746
Timothy Olyphant,42696218
Richard Harris,48674648
Brandon T. Jackson,14098714
Terence Stamp,49110192
G.W. Bailey,4037071
Christopher Shyer,9916428
Paul Bettany,264405066
Sandro Dori,21355618
James McAvoy,19626708
Samuel L. Jackson,49706392
Jaime FitzSimons,219854697
Steve Zahn,41882872
Garrett Hedlund,79943701
Charlie Cox,26207011
Geoffrey Rush,152387163
Michael Fassbender,32026982
D.B. Sweeney,2747572
Chris Rock,19261972
Ryan Reynolds,161180668
Karl Urban,74334656
Keanu Reeves,9024615
Laurence Belcher,4147598
Noel Appleby,202861432
Brian Cox,19426684
Chaim Jeraffi,27597310
Shawn Levy,41032053
Jeff Kahn,23929278
Michael Cera,10332844
Mel Gibson,49068174
Josh Keaton,589089
Terrence Howard,16265203
Jim Carrey,36465685
Roy Scheider,4685314
Clovis Cornillac,260119
Adewale Akinnuoye-Agbaje,103088501
Michael J. Fox,23360326
Will Ferrell,33190637
Eddie Baroo,2756172
Paul Rudd,98867410
Armie Hammer,63207483
Jamie Bell,107910331
Ben Barnes,80311078
Michael Gambon,17767513
John Samaha,14746331
Suraj Sharma,129466294
Zachary Levi,53716876
Albert Brooks,243416862
Bill Hader,146220442
James Cromwell,1667093
Bryan Cranston,42957951
John Malkovich,34805278
Togo Igawa,7510
Rob Maxey,91677257
Patrick Swayze,1635389
Kevin James,85090007
Jai Courtney,137420415
Russell Crowe,120967406
Willem Dafoe,95577742
Seth Green,37311727
Michael Caine,239839671
Bradley Cooper,122792643
Peter Weller,29286354
Chris Hemsworth,360722214
Charlie Hunnam,43624368
Steve Buscemi,3541611
Christopher Plummer,7077825
Frank Aldridge,175520209
Paul Giamatti,45347686
Bill Paxton,28870219
Mark Addy,35565392
Steve Carell,122063724
Will Smith,218238397
Sean Astin,38145883
Mark Ruffalo,224670158
Arnold Schwarzenegger,58744440
Billy Crudup,26396617
Mark Rylance,16707767
Max Charles,65779752
Michael Sheen,38133609
Randy Quaid,14934409
Jeff Bridges,101324047
Michael Rapaport,28329646
Chris Pratt,230628981
Jason Lee,43522723
Zachary Quinto,98366487
Brenton Thwaites,62008415
Hank Azaria,37852357
Emile Hirsch,23474862
Sullivan Stapleton,11702454
Benjamin Bratt,39883121
Jay Baruchel,21686761
Dennis Quaid,10621434
Bruce Allpress,75383413
Jason Statham,41491375
Dustin Hoffman,31359653
Ewan McGregor,152579280
Ben Affleck,148995615
Sam Spruell,40619530
Jack Nicholson,100178274
Gerard Butler,82109392
Michael Douglas,27872684
Colm Meaney,11060274
Campbell Scott,84935
Freddie Highmore,68830627
