Actor1_Rev,Actor2_Rev,YT_Count,YT_Dislike,IMDBVotes,Revenue
0,116056753,7034348,2993,55559,244451601
43478283,0,37100822,37153,274185,167117548
71395927,0,37726110,6082,158844,469590832
5864146,4646016,241243,26,153509,339504276
49068174,72457700,4395765,3333,215760,2317507
85343206,0,1246588,74,296466,125402117
85343206,0,3162219,230,366520,186200000
0,137420415,16497408,4564,168767,295279072
220027943,0,1048666,40,276371,102563679
18400291,86667042,1577711,249,54896,42776259
27098853,28153150,2462548,266,139199,229155503
11702454,0,25852201,3737,235236,91024535
37852357,95871895,7422667,1828,69009,563749323
4037071,0,802423,69,14532,76482461
0,51940986,11555274,3341,66178,171484051
87210690,64646466,13798422,5311,262755,263880341
37852357,95871895,5365069,835,28772,71017784
33948403,184932277,11123221,2268,192606,61656849
55956848,42696218,350893,23,344636,382288147
106773471,202861432,2295174,155,1303095,887210985
218238397,133746607,12138733,2415,81585,87683966
119637182,5792276,1312708,279,37907,133818283
5269023,38133609,1389096,92,225333,218853353
23360326,0,1703215,8,99506,298815224
0,36172181,1793201,208,93672,270997378
136623867,0,38576440,4254,543421,663851905
152579280,0,439624,40,270589,35800000
5289101,197862206,938118,60,225289,100978700
101365680,60754126,899311,78,1038730,8205703
183502020,170731996,417357,31,415973,358824714
15580079,6168920,450860,22,414552,878979634
372774112,0,1478656,99,489236,594420283
144799396,17114323,20679908,4566,183087,362211740
62940472,0,480904,44,784674,198116802
217742101,2576,4221095,264,237986,212282709
106585059,101365680,2040808,102,334605,267985456
62940472,0,1676344,122,197126,365300000
106585059,58368048,911717,70,156227,65452312
64962645,0,565885,45,89084,310650574
33190637,0,6748419,328,197969,170936470
62940472,1204356,294858,21,87479,234400000
133746607,178248658,14738924,1725,1024786,449948323
7371578,112889565,739197,19,135539,87320505
53918831,41491375,11716766,518,255260,85017401
5289101,0,1981794,133,261735,331323410
27185541,60054917,754318,132,110455,249488115
30319359,0,1279525,128,90029,99123656
87210690,16315388,19141918,4776,46851,123888320
17887206,29926250,8638055,1252,88564,262794441
104642616,0,1693925,127,184097,278731369
62940472,927877,898092,283,92092,212026975
220027943,100085346,1341700,100,416694,171377916
220027943,114847164,10605827,1021,849538,391976723
13903580,88956281,1064162,180,198063,336529144
57619771,0,22494079,2942,296389,130673154
0,39883121,1508186,538,90256,82145379
29402685,589089,17890093,2113,151030,243388614
18753850,0,558374,48,74843,91800000
33190637,0,1553574,176,53254,69548641
53918831,41491375,25240551,2409,134703,34742878
1635389,9024615,22929103,14184,118049,128131571
1245983,6044154,1981700,821,42430,59918422
360722214,19688698,14520427,1526,86998,90420758
117777459,14934409,344442,263,20812,7094995
7428978,90128440,1109634,103,113714,97523020
61194602,0,9619643,1321,32959,244778411
84935,39767901,91771,2,19038,13835130
57219513,0,6276178,4789,255418,435040395
220027943,41016147,1098378,86,327657,183124621
217742101,0,836638,149,40224,93721434
188565799,101324047,1450345,3646,55911,58867694
0,23121740,350841,33,50922,96221971
45718,152579280,496755,36,304698,159691085
33190637,18953270,7107757,6790,109508,104907746
55956848,152878928,743727,125,358462,263900000
23392420,22278713,775131,0,62625,65700000
29926250,0,9364897,1157,153142,879765137
144799396,0,3215670,237,129613,94894448
243416862,0,1482497,237,740498,936429370
202861432,0,1825632,112,1280900,1141403341
75383413,38145883,2414488,159,1158527,934699645
101324047,80311078,9493655,1217,58806,110623265
0,56198494,1925861,240,163313,273330185
104642616,0,17759970,1763,181369,103039258
7443792,18294194,2020476,204,229609,365900000
356876604,0,9312869,1344,418650,482860185
68830627,0,1010245,60,72229,162839667
55956848,137420415,1400782,163,171524,304249198
10621434,44397438,247319,48,17274,23911362
90746064,0,2229242,271,503527,614726752
0,94832511,302218,19,21902,18517322
41047862,14098714,5707307,773,147133,61198532
88956281,218238397,1454840,106,422007,587790539
106585059,100914781,7164794,1707,156212,169511609
146220442,0,2953931,352,161054,236827677
220027943,136623867,916656,69,923811,289660619
23929278,362607942,1971927,122,318209,191091250
372774112,0,9366170,794,344623,109421911
55956848,60054917,679406,38,309890,366101666
362607942,56830970,3190512,309,496568,208711166
23360326,0,1016852,63,77307,186049020
18320504,17632805,7849219,6227,11078,235296080
183502020,22278713,528045,36,190821,203902107
68354637,84708677,1516606,63,161288,100018837
68354637,85090007,33016387,15150,98910,244126300
117777459,49110192,1261048,232,33489,75759571
0,40419050,5192843,886,208129,165900000
0,10716632,769288,59,105420,191200000
0,42930943,110408,13,87851,162753837
41047862,0,10895204,2118,90322,200859554
0,82109392,492733,57,106933,65700000
107530576,224670158,19111735,1883,148462,65030563
13903580,0,181752,85,53405,169400000
64271764,85343206,339247,19,124797,143049560
49073571,2913989,14805193,1431,61972,106000000
0,393946907,7974049,1415,171495,487519809
43834938,0,65011,2,91753,87420776
88956281,0,416392,75,60458,120100000
40619530,13336966,668246,32,50839,35100183
43478283,0,37100822,37153,274185,167117548
62940472,61310755,10585457,1956,116809,63356133
101365680,0,178592,3,152893,105021488
49571780,101324047,637301,17,58973,148715342
0,28870219,603279,86,148566,495700000
54654188,108476005,30838433,12476,282637,206512310
57619771,4632220,182401,17,413705,427230516
0,44202228,337862,40,138162,385000317
136623867,0,1565147,68,367138,288587450
184932277,152878928,186405,13,151263,315268353
104329638,0,1032296,65,420115,183349128
34953170,0,4566686,841,91425,139877913
68354637,13158901,16129260,1983,173296,378505812
0,101566392,4631075,994,148005,340384141
106585059,161180668,7390080,426,172690,208542162
0,117777459,5121848,293,113841,153487972
218238397,86959802,98810,6,194180,250649836
0,39767901,1543535,90,72381,112703470
104329638,85343206,211108,10,266588,78864724
65098309,45187447,779205,96,68557,191932158
0,51940986,43422640,5903,356759,276014965
56830970,0,3077070,275,198478,96971293
71395927,151234685,212570,14,85095,80831893
62940472,12131586,174676,27,110856,137298489
0,7510,52923,3,122353,161510853
39317834,157794205,3911465,318,188723,157794205
19626708,58454077,4279667,306,38315,149717124
85343206,80045696,2771976,183,174997,44650003
62940472,0,3777412,895,63234,78353508
10332844,0,6418629,1595,286011,31494270
9916428,3310593,368689,5,79376,74132631
117777459,0,76233,7,40716,166307945
891801,0,490003,70,74739,153300000
74334656,0,6813454,1872,211563,41467606
68354637,0,2980930,1463,255787,237685089
24353445,0,120720,16,31608,20036244
19093528,107910331,1868802,173,250819,223636949
99171609,0,1135984,517,214413,160388063
37667610,224670158,2413121,117,322935,83080084
62940472,28329646,129734,7,102204,33813823
36465685,78297584,491456,25,309785,484468608
53918831,41491375,20704615,1644,279916,268268174
183502020,56198494,14323106,1135,312504,457697994
92866968,68062699,9354002,1041,729742,677923379
122792643,17053291,4209847,426,391152,586464305
115927416,21060320,2242865,226,225013,266824291
55956848,115046022,245814,8,131875,343397247
0,94071933,3187332,88,124118,145771527
41881203,0,351696,18,139366,349464664
55956848,34805278,5750986,512,131221,53215979
68354637,19261972,445249,7,135346,190320568
18320504,195533,1335875,244,23920,349088523
68354637,85090007,8826219,1422,112712,127400000
122063724,0,861300,54,172830,226739416
100178274,0,815243,35,93960,121400000
220027943,224670158,7489877,432,842924,299461782
60879424,0,28492,1,51144,168311558
68354637,0,1256955,275,74528,221468935
15560713,91677257,639019,38,207879,183354514
68354637,0,8713993,520,179670,214974953
11060274,10048753,154484,8,231728,224117573
188565799,0,1528616,98,155266,178066569
56830970,0,1240199,57,121629,165173909
106585059,152878928,3713106,373,237837,158750817
43834938,0,1059616,97,67335,177993801
125100000,509511,1234604,108,117216,250200000
39767901,23392420,602284,48,68098,158926474
9024615,0,2285498,226,143327,79136963
49068174,0,202698,17,79008,142783718
85343206,188565799,5823213,657,328085,211755593
184932277,0,132982,15,62481,164800000
75627836,85437510,4012885,916,16976,204774690
136623867,1667093,947417,35,47224,106515310
85090007,0,957033,184,46625,170805525
74503400,0,166151,18,60211,136047317
72418822,626666,284917,22,89074,96148711
873419,35565392,770949,73,106028,56684819
0,28870219,363977,36,23738,50632037
58368048,87210690,278460,42,159381,147080413
26927601,1356980,588589,28,74800,141475336
43834938,9373570,933612,79,86186,71485043
68354637,0,364924,70,82700,58270391
52649819,0,6282509,933,101274,105299638
100178274,0,1331091,130,178606,101371017
55956848,0,2241846,181,154661,119668350
23266983,112100478,673468,35,46555,66554547
53918831,0,1673845,949,55120,4171
69155427,74334656,7171569,1255,9273,23446920
58368048,80745497,397722,400,66998,29725663
57219513,0,163690,24,25636,54540662
41016147,21355618,6697645,646,38186,53508858
54654188,0,465184,40,54217,26703184
112100478,5533076,137874,23,57801,21812813
0,1667093,400109,36,25961,69131860
108476005,0,13378505,1944,68922,131234406
13903580,0,327833,34,48818,33463969
68830627,0,828729,56,26773,113325743
5864146,6311689,3694075,311,7894,86787530
390859,0,298418,90,16816,6300451
24851870,0,9292114,2500,88904,108469033
50524561,589089,201202,483,280,4547660
101365680,58415215,1178657,84,651623,317668058
23121740,5009542,6417458,5435,690761,987480140
71395927,239839671,2229264,253,70823,103812241
146220442,0,1161954,199,68303,119793567
80045696,81475107,358968,47,210669,206455420
210045800,0,854169,43,69445,108086731
68354637,16450416,303980,717,63039,150519217
